-1.0000 0.8959 0.0090
-0.9990 0.9137 0.0130
-0.9980 0.9316 0.0166
-0.9970 0.9497 0.0189
-0.9960 0.9679 0.0194
-0.9950 0.9863 0.0179
-0.9940 1.0049 0.0145
-0.9930 1.0235 0.0100
-0.9920 1.0424 0.0052
-0.9910 1.0613 0.0015
-0.9900 1.0804 0.0000
-0.9890 1.0997 0.0017
-0.9880 1.1190 0.0072
-0.9870 1.1385 0.0162
-0.9860 1.1582 0.0278
-0.9850 1.1780 0.0403
-0.9840 1.1979 0.0517
-0.9830 1.2179 0.0597
-0.9820 1.2381 0.0624
-0.9810 1.2584 0.0585
-0.9800 1.2788 0.0482
-0.9790 1.2993 0.0331
-0.9780 1.3200 0.0166
-0.9770 1.3407 0.0037
-0.9760 1.3616 0.0005
-0.9750 1.3826 0.0138
-0.9740 1.4038 0.0503
-0.9730 1.4250 0.1154
-0.9720 1.4463 0.2125
-0.9710 1.4678 0.3422
-0.9700 1.4894 0.5018
-0.9690 1.5110 0.6850
-0.9680 1.5328 0.8825
-0.9670 1.5546 1.0822
-0.9660 1.5766 1.2705
-0.9650 1.5987 1.4337
-0.9640 1.6208 1.5589
-0.9630 1.6431 1.6360
-0.9620 1.6654 1.6582
-0.9610 1.6878 1.6234
-0.9600 1.7103 1.5340
-0.9590 1.7329 1.3967
-0.9580 1.7556 1.2223
-0.9570 1.7783 1.0241
-0.9560 1.8012 0.8168
-0.9550 1.8241 0.6147
-0.9540 1.8471 0.4308
-0.9530 1.8701 0.2749
-0.9520 1.8932 0.1534
-0.9510 1.9164 0.0687
-0.9500 1.9397 0.0194
-0.9490 1.9630 0.0007
-0.9480 1.9864 0.0055
-0.9470 2.0098 0.0253
-0.9460 2.0333 0.0518
-0.9450 2.0568 0.0775
-0.9440 2.0804 0.0967
-0.9430 2.1041 0.1060
-0.9420 2.1278 0.1043
-0.9410 2.1515 0.0929
-0.9400 2.1753 0.0745
-0.9390 2.1991 0.0527
-0.9380 2.2229 0.0316
-0.9370 2.2468 0.0145
-0.9360 2.2707 0.0036
-0.9350 2.2946 0.0000
-0.9340 2.3186 0.0032
-0.9330 2.3426 0.0117
-0.9320 2.3666 0.0230
-0.9310 2.3906 0.0345
-0.9300 2.4147 0.0437
-0.9290 2.4387 0.0488
-0.9280 2.4628 0.0489
-0.9270 2.4869 0.0443
-0.9260 2.5110 0.0358
-0.9250 2.5351 0.0254
-0.9240 2.5592 0.0149
-0.9230 2.5833 0.0064
-0.9220 2.6074 0.0012
-0.9210 2.6314 0.0001
-0.9200 2.6555 0.0031
-0.9190 2.6796 0.0092
-0.9180 2.7036 0.0171
-0.9170 2.7276 0.0250
-0.9160 2.7516 0.0313
-0.9150 2.7756 0.0348
-0.9140 2.7996 0.0347
-0.9130 2.8235 0.0312
-0.9120 2.8474 0.0250
-0.9110 2.8713 0.0173
-0.9100 2.8951 0.0098
-0.9090 2.9189 0.0037
-0.9080 2.9427 0.0004
-0.9070 2.9664 0.0004
-0.9060 2.9901 0.0036
-0.9050 3.0137 0.0094
-0.9040 3.0372 0.0165
-0.9030 3.0607 0.0235
-0.9020 3.0842 0.0289
-0.9010 3.1076 0.0317
-0.9000 3.1309 0.0313
-0.8990 3.1541 0.0278
-0.8980 3.1773 0.0219
-0.8970 3.2005 0.0147
-0.8960 3.2235 0.0078
-0.8950 3.2465 0.0026
-0.8940 3.2694 0.0001
-0.8930 3.2922 0.0010
-0.8920 3.3149 0.0050
-0.8910 3.3375 0.0116
-0.8900 3.3601 0.0193
-0.8890 3.3825 0.0268
-0.8880 3.4049 0.0324
-0.8870 3.4271 0.0351
-0.8860 3.4493 0.0342
-0.8850 3.4713 0.0299
-0.8840 3.4932 0.0230
-0.8830 3.5151 0.0150
-0.8820 3.5368 0.0074
-0.8810 3.5584 0.0020
-0.8800 3.5799 0.0000
-0.8790 3.6012 0.0021
-0.8780 3.6225 0.0080
-0.8770 3.6436 0.0170
-0.8760 3.6646 0.0272
-0.8750 3.6854 0.0368
-0.8740 3.7062 0.0440
-0.8730 3.7267 0.0470
-0.8720 3.7472 0.0454
-0.8710 3.7675 0.0391
-0.8700 3.7876 0.0295
-0.8690 3.8076 0.0185
-0.8680 3.8275 0.0084
-0.8670 3.8472 0.0017
-0.8660 3.8667 0.0002
-0.8650 3.8861 0.0049
-0.8640 3.9054 0.0156
-0.8630 3.9244 0.0308
-0.8620 3.9433 0.0480
-0.8610 3.9621 0.0640
-0.8600 3.9806 0.0758
-0.8590 3.9990 0.0808
-0.8580 4.0172 0.0776
-0.8570 4.0352 0.0664
-0.8560 4.0531 0.0493
-0.8550 4.0707 0.0297
-0.8540 4.0882 0.0122
-0.8530 4.1055 0.0015
-0.8520 4.1226 0.0016
-0.8510 4.1395 0.0149
-0.8500 4.1562 0.0415
-0.8490 4.1727 0.0789
