0.000000 -0.000000 0.000000 0.000000 -0.000000
0.010000 0.037036 0.008191 0.010856 -2.901719
0.020000 0.044693 0.016180 0.018513 -1.975404
0.030000 0.051981 0.023771 0.025801 -1.853165
0.040000 0.058714 0.030776 0.032534 -1.689835
0.050000 0.064717 0.037024 0.038538 -1.490217
0.060000 0.069837 0.042360 0.043657 -1.258100
0.070000 0.073941 0.046653 0.047761 -1.046690
0.080000 0.076921 0.049797 0.050741 -0.774500
0.090000 0.078698 0.051715 0.052518 -0.522257
0.100000 0.079222 0.052360 0.053049 2.213630
0.110000 0.049154 0.051715 0.053049 24.000000
0.120000 0.012225 0.049797 0.038405 0.906714
0.130000 0.010203 0.046653 0.036383 1.171675
0.140000 0.006961 0.042360 0.033141 1.394947
0.150000 0.002606 0.037024 0.028786 1.595813
0.160000 -0.002727 0.030776 0.023453 1.760334
0.170000 -0.008882 0.023771 0.017298 1.900506
0.180000 -0.015683 0.016180 0.010497 1.988309
0.190000 -0.022941 0.008191 0.003239 2.034966
0.200000 -0.030501 0.000000 -0.004321 2.038598
0.210000 -0.038068 -0.008191 -0.011888 1.993486
0.220000 -0.045486 -0.016180 -0.019306 1.924187
0.230000 -0.052557 -0.023771 -0.026377 1.799854
0.240000 -0.059092 -0.030776 -0.032912 1.645621
0.250000 -0.064915 -0.037024 -0.038735 1.459454
0.260000 -0.069871 -0.042360 -0.043691 1.238167
0.270000 -0.073826 -0.046653 -0.047646 1.010035
0.280000 -0.076672 -0.049797 -0.050492 0.731057
0.290000 -0.078328 -0.051715 -0.052148 0.465775
0.300000 -0.078675 -0.052360 -0.052584 -4.733898
0.310000 -0.042959 -0.051715 -0.052584 -24.000000
0.320000 -0.011741 -0.049797 -0.037921 -0.926253
0.330000 -0.009628 -0.046653 -0.035808 -1.171196
0.340000 -0.006303 -0.042360 -0.032483 -1.402279
0.350000 -0.001876 -0.037024 -0.028055 -1.610712
0.360000 0.003522 -0.030776 -0.022658 -1.781413
0.370000 0.009732 -0.023771 -0.016448 -1.907393
0.380000 0.016582 -0.016180 -0.009598 -1.993155
0.390000 0.023882 -0.008191 -0.002298 -2.042265
0.400000 0.031477 -0.000000 0.005297 -2.055278
